arrival,duration,soc,diff_soc,diff_energymeter
40080.0,43.0,0.19,0.58,33980.0
51060.0,42.0,0.31,0.51,36992.0
27360.0,36.0,0.25,0.65,49920.0
35040.0,34.0,0.44,0.55,43600.0
58440.0,31.0,0.52,0.28,19424.0
38160.0,20.0,0.28,0.52,45504.0
37260.0,20.0,0.38,0.62,7104.0
76260.0,14.0,0.19,0.33,29988.0
78780.0,5.0,0.6,0.05,4592.0
48900.0,5.0,0.77,0.04,2700.0
52920.0,42.0,0.08,0.72,58268.0
63720.0,38.0,0.12,0.8,61248.0
66780.0,32.0,0.3,0.51,39892.0
43200.0,30.0,0.3,0.52,45096.0
28260.0,29.0,0.64,0.17,7572.0
78780.0,11.0,0.44,0.14,8412.0
62820.0,11.0,0.16,0.31,12016.0
38040.0,53.0,0.13,0.81,59948.0
49620.0,52.0,0.45,0.53,41468.0
65220.0,33.0,0.19,0.46,14728.0
62700.0,29.0,0.02,0.49,40188.0
69180.0,27.0,0.24,0.65,56772.0
53340.0,24.0,0.55,0.42,26336.0
60960.0,20.0,0.26,0.24,10736.0
34740.0,17.0,0.42,0.21,9956.0
29880.0,15.0,0.42,0.16,14716.0
21180.0,14.0,0.2,0.18,13452.0
19380.0,7.0,0.47,0.13,10632.0
32640.0,39.0,0.19,0.55,44618.0
52860.0,33.0,0.16,0.6,27916.0
59040.0,31.0,0.34,0.5,43452.0
65400.0,30.0,0.21,0.56,49148.0
48420.0,30.0,0.2,0.56,37090.0
38400.0,26.0,0.55,0.25,11464.0
24900.0,23.0,0.29,0.55,35212.0
36600.0,21.0,0.51,0.23,22780.0
62280.0,39.0,0.28,0.53,41048.0
47880.0,36.0,0.17,0.73,84152.0
43560.0,36.0,0.16,0.7,25344.0
18300.0,34.0,0.29,0.52,38112.0
27540.0,34.0,0.29,0.36,28096.0
50460.0,31.0,0.13,0.48,38912.0
60720.0,29.0,0.37,0.49,40072.0
50280.0,15.0,0.34,0.48,36808.0
38340.0,13.0,0.31,0.27,22288.0
49500.0,13.0,0.17,0.17,14624.0
53280.0,10.0,0.31,0.25,9200.0
35820.0,36.0,0.3,0.52,44976.0
41700.0,33.0,0.17,0.68,48480.0
59400.0,33.0,0.45,0.41,30536.0
26100.0,29.0,0.31,0.57,43024.0
66600.0,27.0,0.04,0.81,77960.0
32640.0,23.0,0.18,0.48,40744.0
64740.0,18.0,0.15,0.64,60248.0
55980.0,18.0,0.38,0.29,16224.0
44040.0,13.0,0.46,0.34,30768.0
63600.0,13.0,0.09,0.54,48624.0
29520.0,5.0,0.66,0.07,6328.0
59100.0,13.0,0.24,0.2,18624.0
39540.0,40.0,0.59,0.22,13836.0
52140.0,36.0,0.19,0.75,51344.0
34560.0,34.0,0.13,0.79,68792.0
60180.0,31.0,0.15,0.64,47860.0
43320.0,29.0,0.35,0.34,29812.0
57960.0,22.0,0.07,0.26,26132.0
68100.0,18.0,0.18,0.45,16628.0
44760.0,14.0,0.4,0.22,20020.0
27840.0,13.0,0.76,0.17,12124.0
29160.0,10.0,0.39,0.17,15132.0
59160.0,2.0,0.07,0.08,5764.0
58140.0,67.0,0.35,0.56,28088.0
65640.0,55.0,0.44,0.54,27024.0
30120.0,34.0,0.19,0.65,54480.0
27840.0,34.0,0.3,0.48,37144.0
45600.0,26.0,0.24,0.56,47104.0
53520.0,26.0,0.28,0.4,23760.0
59040.0,20.0,0.48,0.37,28448.0
44940.0,14.0,0.46,0.14,14888.0
24360.0,11.0,0.04,0.22,18048.0
42840.0,11.0,0.44,0.22,14400.0
79920.0,42.0,0.18,0.71,59416.0
56220.0,39.0,0.38,0.38,29160.0
10080.0,36.0,0.16,0.65,54144.0
39240.0,36.0,0.44,0.45,35456.0
41520.0,36.0,0.11,0.76,59936.0
60720.0,31.0,0.16,0.55,32368.0
48180.0,23.0,0.19,0.57,50960.0
46140.0,21.0,0.45,0.25,14464.0
23640.0,20.0,0.15,0.43,32328.0
23580.0,17.0,0.38,0.32,26896.0
32460.0,16.0,0.04,0.33,26184.0
22620.0,13.0,0.46,0.19,15912.0
29580.0,13.0,0.52,0.2,7744.0
72900.0,11.0,0.14,0.31,24632.0
30120.0,49.0,0.3,0.65,48168.0
60000.0,39.0,0.21,0.62,38328.0
45900.0,34.0,0.32,0.47,30912.0
33840.0,33.0,0.22,0.74,63928.0
52740.0,32.0,0.1,0.63,54720.0
47880.0,32.0,0.16,0.64,34328.0
69660.0,30.0,0.32,0.5,24752.0
39300.0,27.0,0.73,0.19,19216.0
22140.0,23.0,0.09,0.47,41448.0
59400.0,17.0,0.18,0.26,21912.0
62400.0,17.0,0.08,0.41,37376.0
58920.0,15.0,0.17,0.35,27840.0
54840.0,13.0,0.21,0.49,44280.0
77520.0,11.0,0.23,0.26,22728.0
26580.0,10.0,0.25,0.11,9832.0
67680.0,7.0,0.57,0.11,6416.0
38700.0,5.0,0.13,0.08,9184.0
48240.0,39.0,0.6,0.4,36100.0
27900.0,38.0,0.05,0.77,62420.0
38280.0,25.0,0.47,0.28,21532.0
60480.0,21.0,0.58,0.3,11276.0
79380.0,15.0,0.22,0.23,17740.0
43020.0,14.0,0.08,0.51,27896.0
42120.0,13.0,0.3,0.16,10352.0
57660.0,11.0,0.37,0.23,24700.0
82080.0,67.0,0.4,0.51,37784.0
54720.0,37.0,0.39,0.56,35540.0
24900.0,34.0,0.46,0.33,27432.0
59340.0,30.0,0.06,0.72,31456.0
34140.0,26.0,0.07,0.58,51384.0
51420.0,23.0,0.69,0.14,5228.0
43860.0,17.0,0.51,0.34,30132.0
